epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,7669.19,0.52239,0.51647,0.968,0.83632,0.71808,0.79305,0.7006,0.49925,0.62779,0.97315,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7766.45,0.5242,0.51354,0.97088,0.81923,0.73016,0.79083,0.70078,0.49739,0.62817,0.97096,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7862.55,0.51878,0.50942,0.9687,0.81521,0.73193,0.79316,0.70306,0.49703,0.62808,0.97042,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7959.39,0.51893,0.50344,0.96827,0.81191,0.73356,0.79837,0.70839,0.49685,0.62835,0.97025,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8056.01,0.51634,0.4995,0.96466,0.81097,0.73738,0.79834,0.70774,0.49687,0.62829,0.97048,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8157.38,0.51435,0.4984,0.96569,0.74934,0.791,0.79645,0.70906,0.49763,0.62697,0.97218,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8257.73,0.51473,0.49151,0.96575,0.74445,0.79463,0.79537,0.70862,0.49761,0.6286,0.97297,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8363.8,0.50619,0.49109,0.96094,0.75272,0.77144,0.79425,0.70856,0.49771,0.62943,0.9736,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8461.52,0.51049,0.48875,0.96353,0.74899,0.78598,0.79398,0.70751,0.49733,0.63025,0.97348,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8557.37,0.50412,0.47812,0.96066,0.79542,0.75267,0.79398,0.70749,0.49725,0.6309,0.97352,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8655.27,0.5033,0.4745,0.96035,0.80084,0.74755,0.79382,0.70786,0.49769,0.63036,0.97419,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8754.04,0.505,0.46961,0.96114,0.79876,0.74553,0.79286,0.70585,0.49721,0.63174,0.974,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8854.76,0.37207,0.3181,0.85861,0.79928,0.74327,0.79106,0.70418,0.49882,0.63221,0.97675,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8951.47,0.36718,0.30787,0.85768,0.78998,0.75065,0.79038,0.70333,0.49869,0.63258,0.97644,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9048.45,0.36106,0.29838,0.85157,0.77577,0.7602,0.7907,0.70293,0.49842,0.63379,0.97645,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9145.81,0.35959,0.29443,0.85397,0.76726,0.7639,0.79007,0.7022,0.49918,0.635,0.9774,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9243.68,0.35636,0.28804,0.85115,0.75814,0.76806,0.78883,0.7009,0.49935,0.63606,0.97789,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9340.23,0.35191,0.28225,0.85071,0.75426,0.77024,0.78995,0.7028,0.49923,0.636,0.97832,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9437.05,0.34966,0.27503,0.84596,0.75429,0.77233,0.78995,0.7021,0.49947,0.63727,0.97919,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9535,0.34728,0.27112,0.8459,0.7505,0.77583,0.79102,0.70259,0.49931,0.63728,0.97952,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9631.92,0.34546,0.26861,0.84368,0.75185,0.77654,0.7908,0.7036,0.49936,0.63757,0.98004,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,9728.26,0.34217,0.26408,0.84332,0.758,0.76649,0.7897,0.70231,0.49999,0.63783,0.98084,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
